Date,Restaurant,num_fish,num_chicken,num_vegetarian,num_meat,pcs_Not Mapped,num_vegan,carbon_emissions_sum
2023-05-02,610 Physicum,12.0,58.0,43.0,21.0,0.0,25.0,126.39
2023-05-02,620 Exactum,75.0,24.0,64.0,0.0,0.0,64.0,166.44
2023-05-03,600 Chemicum,250.0,345.0,0.0,7.0,0.0,239.0,506.39
2023-05-03,610 Physicum,14.0,50.0,48.0,27.0,0.0,32.0,132.43
2023-05-03,620 Exactum,23.0,17.0,12.0,111.0,0.0,133.0,210.85
2023-05-04,600 Chemicum,330.0,203.0,0.0,7.0,0.0,324.0,585.37
2023-05-04,610 Physicum,11.0,45.0,42.0,22.0,0.0,42.0,118.95
2023-05-04,620 Exactum,3.0,0.0,0.0,7.0,0.0,129.0,63.09
2023-05-05,600 Chemicum,218.0,234.0,0.0,0.0,0.0,287.0,460.06
2023-05-05,610 Physicum,0.0,26.0,36.0,8.0,0.0,26.0,75.45
2023-05-05,620 Exactum,0.0,154.0,0.0,0.0,0.0,150.0,170.92
2023-05-08,600 Chemicum,219.0,0.0,0.0,290.0,0.0,246.0,538.33
2023-05-08,610 Physicum,0.0,40.0,41.0,12.0,0.0,31.0,94.9
2023-05-08,620 Exactum,0.0,108.0,0.0,1.0,0.0,99.0,129.3
2023-05-09,600 Chemicum,14.0,220.0,0.0,3.0,0.0,518.0,363.24
2023-05-09,610 Physicum,0.0,49.0,30.0,21.0,0.0,24.0,99.01
2023-05-09,620 Exactum,78.0,24.0,18.0,0.0,0.0,76.0,138.97
2023-05-10,600 Chemicum,90.0,346.0,0.0,0.0,0.0,249.0,456.3
2023-05-10,610 Physicum,0.0,37.0,38.0,11.0,0.0,26.0,87.26
2023-05-10,620 Exactum,47.0,0.0,0.0,87.0,0.0,95.0,182.15
2023-05-11,600 Chemicum,196.0,121.0,0.0,6.0,0.0,282.0,339.44
2023-05-11,610 Physicum,0.0,38.0,25.0,17.0,0.0,22.0,76.46
